contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
INFY240816C00016000,2024-07-05 18:39:30+00:00,16.0,3.52,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY240816C00017000,2024-07-19 13:49:18+00:00,17.0,4.75,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY240816C00018000,2024-07-25 14:15:15+00:00,18.0,4.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY240816C00019000,2024-07-19 14:13:32+00:00,19.0,2.9,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY240816C00020000,2024-07-30 16:16:35+00:00,20.0,2.65,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY240816C00021000,2024-07-30 18:52:04+00:00,21.0,1.7,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY240816C00022000,2024-07-30 17:03:33+00:00,22.0,0.7,0.0,0.0,0.0,0.0,62.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY240816C00023000,2024-07-30 19:52:06+00:00,23.0,0.23,0.0,0.0,0.0,0.0,47.0,0,0.0312596875,False,REGULAR,USD
INFY240816C00024000,2024-07-26 19:33:57+00:00,24.0,0.13,0.0,0.0,0.0,0.0,135.0,0,0.062509375,False,REGULAR,USD
INFY240816C00025000,2024-07-19 13:30:14+00:00,25.0,0.15,0.0,0.0,0.0,0.0,4.0,0,0.12500875,False,REGULAR,USD
INFY240816C00026000,2024-07-18 17:42:15+00:00,26.0,0.05,0.0,0.0,0.0,0.0,11.0,0,0.12500875,False,REGULAR,USD
INFY240920C00018000,2024-07-24 14:34:01+00:00,18.0,4.3,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY240920C00019000,2024-07-23 13:38:14+00:00,19.0,2.85,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY240920C00020000,2024-07-30 16:11:53+00:00,20.0,2.8,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY240920C00021000,2024-07-30 14:50:07+00:00,21.0,2.0,0.0,0.0,0.0,0.0,15.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY240920C00022000,2024-07-29 14:19:04+00:00,22.0,1.15,0.0,0.0,0.0,0.0,50.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY240920C00023000,2024-07-30 17:12:45+00:00,23.0,0.52,0.0,0.0,0.0,0.0,13.0,0,0.015634843750000002,False,REGULAR,USD
INFY240920C00024000,2024-07-30 15:06:26+00:00,24.0,0.25,0.0,0.0,0.0,0.0,24.0,0,0.0312596875,False,REGULAR,USD
INFY240920C00025000,2024-07-30 16:16:35+00:00,25.0,0.15,0.0,0.0,0.0,0.0,3.0,0,0.062509375,False,REGULAR,USD
INFY241018C00014000,2024-07-05 17:08:21+00:00,14.0,5.64,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY241018C00015000,2024-07-18 17:48:30+00:00,15.0,7.76,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY241018C00016000,2024-07-25 14:45:26+00:00,16.0,6.2,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
INFY241018C00017000,2024-07-26 13:30:30+00:00,17.0,5.81,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
