contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
INFY240816P00014000,2024-06-25 17:37:43+00:00,14.0,0.05,0.0,0.75,0.0,0.0,5.0,15.0,1.82421962890625,0.0,REGULAR,USD
INFY240816P00016000,2024-07-22 16:44:43+00:00,16.0,0.01,0.0,0.0,0.0,0.0,40.0,0.0,0.500005,0.0,REGULAR,USD
INFY240816P00017000,2024-07-17 18:18:28+00:00,17.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,0.0,REGULAR,USD
INFY240816P00018000,2024-07-22 16:44:43+00:00,18.0,0.09,0.0,0.0,0.0,0.0,40.0,0.0,0.2500075,0.0,REGULAR,USD
INFY240816P00019000,2024-07-26 17:27:07+00:00,19.0,0.01,0.0,0.0,0.0,0.0,5.0,0.0,0.2500075,0.0,REGULAR,USD
INFY240816P00020000,2024-07-30 14:32:09+00:00,20.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.12500875,0.0,REGULAR,USD
INFY240816P00021000,2024-07-29 14:54:27+00:00,21.0,0.06,0.0,0.0,0.0,0.0,23.0,0.0,0.12500875,0.0,REGULAR,USD
INFY240816P00022000,2024-07-30 19:01:12+00:00,22.0,0.15,0.0,0.0,0.0,0.0,354.0,0.0,0.0312596875,0.0,REGULAR,USD
INFY240816P00023000,2024-07-30 16:10:14+00:00,23.0,0.55,0.0,0.0,0.0,0.0,113.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD
INFY240816P00024000,2024-07-26 19:26:53+00:00,24.0,1.3,0.0,0.0,0.0,0.0,7.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD
INFY240816P00025000,2024-07-29 13:44:53+00:00,25.0,2.35,0.0,0.0,0.0,0.0,15.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD
INFY240920P00020000,2024-07-26 14:55:31+00:00,20.0,0.1,0.0,0.0,0.0,0.0,7.0,0.0,0.062509375,0.0,REGULAR,USD
INFY240920P00021000,2024-07-26 14:09:37+00:00,21.0,0.16,0.0,0.0,0.0,0.0,11.0,0.0,0.062509375,0.0,REGULAR,USD
INFY240920P00022000,2024-07-30 18:55:30+00:00,22.0,0.38,0.0,0.0,0.0,0.0,6.0,0.0,0.0312596875,0.0,REGULAR,USD
INFY240920P00023000,2024-07-30 19:50:43+00:00,23.0,0.75,0.0,0.0,0.0,0.0,18.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD
INFY240920P00025000,2024-07-26 18:57:01+00:00,25.0,2.32,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD
INFY241018P00012000,2024-04-19 18:08:54+00:00,12.0,0.08,0.0,1.0,0.0,0.0,5.0,5.0,1.1435589697265625,0.0,REGULAR,USD
INFY241018P00013000,2024-04-19 18:08:54+00:00,13.0,0.15,0.0,1.0,0.0,0.0,5.0,5.0,1.0263720556640625,0.0,REGULAR,USD
INFY241018P00014000,2024-07-29 19:28:27+00:00,14.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,0.0,REGULAR,USD
INFY241018P00015000,2024-06-28 13:55:46+00:00,15.0,0.08,0.0,0.75,0.0,0.0,3.0,26.0,0.745119736328125,0.0,REGULAR,USD
INFY241018P00016000,2024-07-22 13:30:15+00:00,16.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,0.0,REGULAR,USD
INFY241018P00017000,2024-07-25 14:06:31+00:00,17.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.12500875,0.0,REGULAR,USD
INFY241018P00018000,2024-07-22 16:16:49+00:00,18.0,0.12,0.0,0.0,0.0,0.0,2.0,0.0,0.12500875,0.0,REGULAR,USD
INFY241018P00019000,2024-07-22 18:13:18+00:00,19.0,0.18,0.0,0.0,0.0,0.0,33.0,0.0,0.12500875,0.0,REGULAR,USD
INFY241018P00020000,2024-07-25 18:27:52+00:00,20.0,0.25,0.0,0.0,0.0,0.0,17.0,0.0,0.062509375,0.0,REGULAR,USD
INFY241018P00021000,2024-07-26 19:45:57+00:00,21.0,0.35,0.0,0.0,0.0,0.0,11.0,0.0,0.0312596875,0.0,REGULAR,USD
INFY241018P00022000,2024-07-26 17:14:03+00:00,22.0,0.55,0.0,0.0,0.0,0.0,88.0,0.0,0.015634843750000002,0.0,REGULAR,USD
INFY241018P00023000,2024-07-30 19:57:59+00:00,23.0,1.1,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD
INFY241018P00024000,2024-02-22 16:48:26+00:00,24.0,3.8,4.5,6.8,0.0,0.0,1.0,0.0,1.1450238061523437,1.0,REGULAR,USD
INFY241018P00035000,2024-05-10 13:48:26+00:00,35.0,18.2,16.5,18.4,0.0,0.0,,0.0,1.9680177380371093,1.0,REGULAR,USD
INFY250117P00010000,2024-04-04 14:14:02+00:00,10.0,0.05,0.0,0.75,0.0,0.0,1.0,1.0,0.89257919921875,0.0,REGULAR,USD
INFY250117P00013000,2024-07-12 17:23:05+00:00,13.0,0.1,0.0,0.0,0.0,0.0,16.0,0.0,0.2500075,0.0,REGULAR,USD
INFY250117P00014000,2024-06-27 17:56:15+00:00,14.0,0.18,0.0,0.75,0.0,0.0,,1.0,0.5751995605468749,0.0,REGULAR,USD
INFY250117P00015000,2024-07-29 19:27:07+00:00,15.0,0.08,0.0,0.0,0.0,0.0,21.0,0.0,0.12500875,0.0,REGULAR,USD
INFY250117P00016000,2024-06-28 18:09:54+00:00,16.0,0.4,0.0,0.75,0.0,0.0,116.0,116.0,0.56836369140625,0.0,REGULAR,USD
INFY250117P00017000,2024-07-18 15:40:24+00:00,17.0,0.18,0.0,0.0,0.0,0.0,40.0,0.0,0.12500875,0.0,REGULAR,USD
INFY250117P00018000,2024-07-26 19:45:57+00:00,18.0,0.16,0.0,0.0,0.0,0.0,2.0,0.0,0.062509375,0.0,REGULAR,USD
INFY250117P00019000,2024-07-25 15:42:25+00:00,19.0,0.4,0.0,0.0,0.0,0.0,3.0,0.0,0.062509375,0.0,REGULAR,USD
INFY250117P00020000,2024-07-30 18:27:44+00:00,20.0,0.5,0.0,0.0,0.0,0.0,144.0,0.0,0.062509375,0.0,REGULAR,USD
INFY250117P00021000,2024-07-30 19:15:48+00:00,21.0,0.74,0.0,0.0,0.0,0.0,62.0,0.0,0.0312596875,0.0,REGULAR,USD
INFY250117P00022000,2024-04-02 15:33:29+00:00,22.0,4.6,4.8,5.9,0.0,0.0,17.0,227.0,0.9438482177734374,0.0,REGULAR,USD
